class_weight,mean_auc,std_auc,mean_f1,std_f1,mean_tpr_disparity
balanced,0.9109432331280936,0.023113933755200718,0.3212634251490985,0.01834067683265189,0.22666666666666666
"{0:1,1:5}",0.9099963781238681,0.022180342110879082,0.3690841675936226,0.09825009284933377,0.215
"{0:1,1:10}",0.9108936858626102,0.023697026433464743,0.39576081440128963,0.04156056838694873,0.3061111111111111
"{0:1,1:17}",0.9113513944223108,0.02206699202395923,0.3586014704074003,0.03197893084496045,0.2738888888888889
